//Almateria's Restoration Project Area Links Table
SRC_AREA  SRC_NWSE  TARGET_ARE  ENTRY_NAME  TRV_TIME  DEF_ENTRY  ENC1     ENC2     ENC3     ENC4     ENC5     ENC_PROB
AR0020    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR0020    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1100    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1100    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1100    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1100    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1300    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1300    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1300    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1300    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1304    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1304    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1304    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1304    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR2000    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2000    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2000    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2000    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1200    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1200    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1200    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1200    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR2600    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2600    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2600    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2600    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR2500    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2500    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2500    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR2500    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1700    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1700    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1700    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1700    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1800    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1800    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1800    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1800    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1404    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1404    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1404    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1404    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR1400    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1400    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1400    W         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR1400    E         AR2700      L-Exit      4         1          N        N        N         N        N        0

AR0300    N         AR2700      L-Exit      4         1          N        N        N         N        N        0
AR0300    S         AR2700      L-Exit      4         1          N        N        N         N        N        0
